ntasks,host-speed,latencia,largura de banda,usec,vetor
16, 14GFlops, 125mbs, 5us, 4.1566342, 1000
16, 14GFlops, 125mbs, 5us, 8.1508306, 2000
16, 14GFlops, 125mbs, 5us, 12.1567752, 3000

16, 14GFlops, 125mbs, 10us, 4.1952888, 1000
16, 14GFlops, 125mbs, 10us, 8.2300677, 2000
16, 14GFlops, 125mbs, 10us, 12.2018185, 3000


16, 14GFlops, 250mbs, 5us, 2.1794668, 1000
16, 14GFlops, 250mbs, 5us, 4.2119727, 2000
16, 14GFlops, 250mbs, 5us, 6.2601981, 3000

16, 14GFlops, 500mbs, 20us, 1.3045098, 1000
16, 14GFlops, 500mbs, 20us, 2.3493976, 2000
16, 14GFlops, 500mbs, 20us, 3.4082936, 3000

16, 14GFlops, 500mbs, 200us, 2.7145148, 1000
16, 14GFlops, 500mbs, 200us, 3.8952082, 2000
16, 14GFlops, 500mbs, 200us, 5.0489524, 3000
